PUF_ID,final_weight,REGION,STRATUM1,LANG,Q1_HS,Q2_COL_CREDIT,Q3_Q3_A_R,Q3_Q3_B_R,Q3_Q3_C_R,Q3_Q3_D_R,Q3_Q3_E_R,Q4_HIGHEST_EDU_FOS,Q5_COL_ENROLL,Q6_EDU_PLAN,Q7A,Q7_B_DEGREE_PLAN_FOS,Q8_ESL,Q9_CERT_LIC,Q10_NUM_ACTIVE,Q11_MOST_IMP_CERT_LIC,Q12_CERT_LIC_WORK,Q13_CERT_LIC_REQ,Q14_CERT_LIC_REV,Q15_Q15_A_R,Q15_Q15_B_R,Q15_Q15_C_R,Q15_D_SPECIFY_FLAG,Q16_CERT_LIC_CUR_JOB,Q17_A,Q17_B,Q17_C,Q17_D,Q18_A,Q18_C,Q18_D,Q18_D_SPECIFY,Q19_CERTIFICATE_FOS,Q21_CERTIFICATE_HOURS,Q22_CERTIFICATE_ENROLL,Q23_CERTIFCATE_CREDITS,Q24_CERTIFICATE_TRAIN,Q25_CERTIFICATE_JOB,Q26_A,Q26_B,Q26_C,Q27_APP,Q28_APP_WORK,Q29_Q29_A_R,Q29_Q29_B_R,Q29_Q29_C_R,Q29_Q29_D_R,Q29_Q29_E_R,Q30_APP_CERT_LIC,Q31_APP_CERTIFICATE,Q32_APP_JOB,Q33_APP_SKILL_USE,Q34_A,Q34_B,Q34_C,Q35_EMPLOYED,Q36_FULL_TIME,Q37_WEEKS_WORKED,Q38_HOURS_WORKED,Q39_EARNINGS,Q40_BUSINESS_TYPE,Q43_JOB_LIC,Q44_MILITARY,Q45_GENDER,Q46_MARITAL_STATUS,Q47_AGE,Q48_HISPANIC,Q49_RACE_01,Q49_RACE_02,Q49_RACE_03,Q49_RACE_04,Q49_RACE_05,Q49_RACE_06,Q49_RACE_07,Q50_INTERNET,Q51_CITIZENSHIP
99047770,154338.5908,WEST,17,1,2,1,,,,,,,1,,,,1,1,,,,,,,,,0,,,,,,1,1,1,,,,,,,,,,,2,,,,,,,,,,,,,,2,2,1,40,3,2,1,2,1,1,48,1,1,0,0,0,0,0,0,2,1
99055860,151.9583062,MIDWEST,1,1,3,2,,,,,,1,1,,,,1,1,,,,,,,,,0,,,,,,2,2,2,1,8,2,3,2,2,2,1,1,2,1,,,,,,,,,,,,,,2,2,3,35,2,14,1,1,2,3,50,1,0,0,1,0,0,0,,1,2
99024610,9073.693224,WEST,17,1,1,,,,,,,,1,,,,1,1,,,,,,,,,0,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,7,,,,,1,2,3,61,1,0,0,0,0,1,0,,1,1
99033910,1832.858493,WEST,17,1,2,3,,,,,,15,1,,,,1,1,,,,,,,,,0,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,3,40,6,1,1,1,2,5,36,1,0,0,0,0,0,1,0,2,1
99047930,10658.4094,WEST,17,1,2,4,1,2,1,1,1,12,1,,,,1,1,,,,,,,,,0,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,2,2,1,40,7,14,2,1,1,5,28,1,0,1,0,1,0,0,0,2,1
99012060,117697.9862,WEST,17,1,1,,,,,,,,1,,,,1,1,,,,,,,,,0,,,,,,1,1,2,1,14,-3,-3,-3,-3,-3,-3,-3,-3,1,,,,,,,,,,,,,,2,2,2,40,4,6,1,1,1,1,57,1,0,0,0,1,0,0,,2,2
99023470,491.5807893,WEST,16,1,2,2,,,,,,1,1,,,,1,1,,,,,,,,,0,,,,,,1,1,1,,,,,,,,,,,2,,,,,,,,,,,,,,1,,7,,,,,1,2,5,25,1,0,0,1,0,0,0,0,1,1
99015240,1667.416233,WEST,16,1,2,1,,,,,,,1,,,,1,1,,,,,,,,,0,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,2,2,1,40,5,7,2,1,2,1,34,1,0,0,1,0,0,0,0,2,1
99000930,10174.81886,WEST,16,1,2,4,1,2,2,1,1,11,1,,,,1,2,2,7,6,2,2,2,1,1,0,3,3,3,3,1,2,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,2,2,4,45,8,6,2,1,1,5,39,1,1,0,0,0,0,0,0,2,1
99059680,4177.104315,WEST,17,1,2,4,1,2,1,2,1,15,1,,,,1,2,1,1,8,2,2,2,1,1,0,3,3,3,3,3,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,2,2,1,50,9,8,2,1,1,1,62,1,0,0,0,1,0,0,0,2,1
